Slice,Count,TotalArea,AverageSize,AreaPerc,Mean,Block
OREw_DGRP042_R1_24_09-1.tif,1,300380,300380,38.345,255,B1
OREw_DGRP042_R1_24_10-1.tif,1,312547,312547,39.898,255,B1
OREw_DGRP042_R1_24_11-1.tif,1,297176,297176,37.936,255,B1
OREw_DGRP042_R1_24_12-1.tif,1,356199,356199,45.471,255,B1
OREw_DGRP042_R1_24_13-1.tif,1,349324,349324,44.593,255,B1
OREw_DGRP042_R1_24_14-1.tif,1,284984,284984,36.38,255,B1
OREw_DGRP042_R1_24_15-1.tif,1,348857,348857,44.533,255,B1
OREw_DGRP042_R1_24_16-1.tif,1,358912,358912,45.817,255,B1
OREw_DGRP042_R1_24_17-1.tif,1,345647,345647,44.124,255,B1
OREw_DGRP042_R1_24_18-1.tif,1,332624,332624,42.461,255,B1
OREw_DGRP042_R1_24_19-1.tif,1,338933,338933,43.267,255,B1
OREw_DGRP042_R1_24_20-1.tif,1,314566,314566,40.156,255,B1
OREw_DGRP045_R1_24_01-1.tif,1,327754,327754,41.84,255,B1
OREw_DGRP045_R1_24_02-1.tif,1,356166,356166,45.466,255,B1
OREw_DGRP045_R1_24_03-1.tif,1,359011,359011,45.83,255,B1
OREw_DGRP045_R1_24_04-1.tif,1,273693,273693,34.938,255,B1
OREw_DGRP045_R1_24_05-1.tif,1,363628,363628,46.419,255,B1
OREw_DGRP045_R1_24_06-1.tif,1,249488,249488,31.848,255,B1
OREw_DGRP045_R1_24_07-1.tif,1,343579,343579,43.86,255,B1
OREw_DGRP045_R1_24_08-1.tif,1,331902,331902,42.369,255,B1
OREw_DGRP045_R1_24_09-1.tif,1,241028,241028,30.768,255,B1
OREw_DGRP045_R1_24_10-1.tif,1,310694,310694,39.662,255,B1
OREw_DGRP045_R1_24_11-1.tif,1,255821,255821,32.657,255,B1
OREw_DGRP045_R1_24_12-1.tif,1,277839,277839,35.468,255,B1
OREw_DGRP045_R1_24_13-1.tif,1,269192,269192,34.364,255,B1
OREw_DGRP045_R1_24_15-1.tif,1,238774,238774,30.481,255,B1
OREw_DGRP045_R1_24_16-1.tif,1,256419,256419,32.733,255,B1
OREw_DGRP045_R1_24_17-1.tif,1,343734,343734,43.879,255,B1
OREw_DGRP045_R1_24_18-1.tif,1,280327,280327,35.785,255,B1
OREw_DGRP045_R1_24_19-1.tif,1,338036,338036,43.152,255,B1
OREw_DGRP045_R1_24_20-1.tif,1,294757,294757,37.627,255,B1
OREw_DGRP045_R1_24_14-1.tif,1,349384,349384,44.601,255,B1
OREw_DGRP021_R1_24_01-1.tif,1,333515,333515,42.575,255,B1
OREw_DGRP021_R1_24_02-1.tif,1,333049,333049,42.515,255,B1
OREw_DGRP021_R1_24_03-1.tif,1,331435,331435,42.309,255,B1
OREw_DGRP021_R1_24_04-1.tif,1,331400,331400,42.305,255,B1
OREw_DGRP021_R1_24_05-1.tif,1,269441,269441,34.396,255,B1
OREw_DGRP021_R1_24_06-1.tif,1,357247,357247,45.604,255,B1
OREw_DGRP021_R1_24_07-1.tif,1,283997,283997,36.254,255,B1
OREw_DGRP021_R1_24_08-1.tif,1,271421,271421,34.648,255,B1
OREw_DGRP021_R1_24_09-1.tif,1,314559,314559,40.155,255,B1
OREw_DGRP021_R1_24_10-1.tif,1,345954,345954,44.163,255,B1
OREw_DGRP021_R1_24_11-1.tif,1,322215,322215,41.132,255,B1
OREw_DGRP021_R1_24_12-1.tif,1,339955,339955,43.397,255,B1
OREw_DGRP021_R1_24_13-1.tif,1,345806,345806,44.144,255,B1
OREw_DGRP021_R1_24_14-1.tif,1,301706,301706,38.514,255,B1
OREw_DGRP021_R1_24_15-1.tif,1,284453,284453,36.312,255,B1
OREw_DGRP021_R1_24_16-1.tif,1,278032,278032,35.492,255,B1
OREw_DGRP021_R1_24_17-1.tif,1,331677,331677,42.34,255,B1
OREw_DGRP026_R1_24_01-1.tif,1,333742,333742,42.604,255,B1
OREw_DGRP026_R1_24_02-1.tif,1,315300,315300,40.25,255,B1
OREw_DGRP026_R1_24_04-1.tif,1,304115,304115,38.822,255,B1
OREw_DGRP026_R1_24_05-1.tif,1,349131,349131,44.568,255,B1
OREw_DGRP026_R1_24_06-1.tif,1,346928,346928,44.287,255,B1
OREw_DGRP026_R1_24_07-1.tif,1,307433,307433,39.245,255,B1
OREw_DGRP026_R1_24_09-1.tif,1,346217,346217,44.196,255,B1
OREw_DGRP026_R1_24_10-1.tif,1,305272,305272,38.97,255,B1
OREw_DGRP026_R1_24_11-1.tif,1,290808,290808,37.123,255,B1
OREw_DGRP026_R1_24_12-1.tif,1,264870,264870,33.812,255,B1
OREw_DGRP026_R1_24_13-1.tif,1,332813,332813,42.485,255,B1
OREw_DGRP026_R1_24_14-1.tif,1,307007,307007,39.191,255,B1
OREw_DGRP026_R1_24_15-1.tif,1,370783,370783,47.332,255,B1
OREw_DGRP026_R1_24_16-1.tif,1,289482,289482,36.954,255,B1
OREw_DGRP028_R1_24_01-1.tif,1,306819,306819,39.167,255,B1
OREw_DGRP028_R1_24_02-1.tif,1,354473,354473,45.25,255,B1
OREw_DGRP028_R1_24_03-1.tif,1,295755,295755,37.755,255,B1
OREw_DGRP028_R1_24_04-1.tif,1,284389,284389,36.304,255,B1
OREw_DGRP028_R1_24_05-1.tif,1,303624,303624,38.759,255,B1
OREw_DGRP028_R1_24_06-1.tif,1,284106,284106,36.268,255,B1
OREw_DGRP028_R1_24_07-1.tif,1,341573,341573,43.604,255,B1
OREw_DGRP028_R1_24_08-1.tif,1,279439,279439,35.672,255,B1
OREw_DGRP028_R1_24_09-1.tif,1,315526,315526,40.279,255,B1
OREw_DGRP028_R1_24_10-1.tif,1,320465,320465,40.909,255,B1
OREw_DGRP028_R1_24_11-1.tif,1,294005,294005,37.531,255,B1
OREw_DGRP028_R1_24_12-1.tif,1,299699,299699,38.258,255,B1
OREw_DGRP028_R1_24_13-1.tif,1,304233,304233,38.837,255,B1
OREw_DGRP028_R1_24_14-1.tif,1,319310,319310,40.762,255,B1
OREw_DGRP028_R1_24_15-1.tif,1,230466,230466,29.42,255,B1
OREw_DGRP028_R1_24_16-1.tif,1,314450,314450,40.141,255,B1
OREw_DGRP028_R1_24_17-1.tif,1,340197,340197,43.428,255,B1
OREw_DGRP028_R1_24_18-1.tif,1,297652,297652,37.997,255,B1
