"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block","Area_mmsq"
"321","OREw",32,24,358300,45.739,1,1.65624175
"322","OREw",32,24,295190,37.683,1,1.364515775
"323","OREw",32,24,314066,40.092,1,1.451770085
"324","OREw",32,24,350757,44.776,1,1.6213742325
"325","OREw",32,24,257955,32.929,1,1.1923969875
"326","OREw",32,24,328333,41.913,1,1.5177192925
"327","OREw",32,24,348277,44.459,1,1.6099104325
"328","OREw",32,24,362235,46.241,1,1.6744312875
"329","OREw",32,24,269841,34.447,1,1.2473400225
"330","OREw",32,24,296228,37.815,1,1.36931393
"331","OREw",32,24,369453,47.163,1,1.7077964925
"332","OREw",32,24,309289,39.482,1,1.4296884025
"333","OREw",38,24,323847,41.341,1,1.4969827575
"334","OREw",38,24,342349,43.703,1,1.5825082525
"335","OREw",38,24,241932,30.884,1,1.11833067
"336","OREw",38,24,291234,37.178,1,1.346229165
"337","OREw",38,24,344478,43.974,1,1.592349555
"338","OREw",38,24,300140,38.314,1,1.38739715
"339","OREw",38,24,348060,44.432,1,1.60890735
"340","OREw",38,24,379109,48.395,1,1.7524313525
"341","OREw",38,24,353639,45.144,1,1.6346962775
"342","OREw",38,24,230836,29.467,1,1.06703941
"343","OREw",38,24,277755,35.457,1,1.2839224875
"344","OREw",38,24,338457,43.206,1,1.5645174825
"345","OREw",38,24,331465,42.313,1,1.5321969625
"346","OREw",38,24,296646,37.868,1,1.371246135
"347","OREw",38,24,302279,38.587,1,1.3972846775
"348","OREw",38,24,340019,43.405,1,1.5717378275
"349","OREw",38,24,317007,40.468,1,1.4653648575
"350","OREw",38,24,324868,41.471,1,1.50170233
"351","OREw",38,24,347169,44.318,1,1.6047887025
"352","OREw",38,24,211999,27.063,1,0.9799653775
"353","sd[1]",21,24,275012,35.107,1,1.27124297
"354","sd[1]",21,24,256213,32.707,1,1.1843445925
"355","sd[1]",21,24,247443,31.587,1,1.1438052675
"356","sd[1]",21,24,277676,35.447,1,1.28355731
"357","sd[1]",21,24,254847,32.533,1,1.1780302575
"358","sd[1]",21,24,259716,33.154,1,1.20053721
"359","sd[1]",21,24,297085,37.924,1,1.3732754125
"360","sd[1]",21,24,239778,30.609,1,1.108373805
"361","sd[1]",21,24,264414,33.754,1,1.222253715
"362","sd[1]",21,24,256802,32.782,1,1.187067245
"363","sd[1]",21,24,289846,37,1,1.339813135
"364","sd[1]",21,24,253994,32.424,1,1.174087265
"365","sd[1]",21,24,302858,38.661,1,1.399961105
"366","sd[1]",21,24,265522,33.895,1,1.227375445
"367","sd[1]",21,24,266610,34.034,1,1.232404725
"368","sd[1]",26,24,349393,44.602,1,1.6150691425
"369","sd[1]",26,24,291987,37.274,1,1.3497099075
"370","sd[1]",26,24,265419,33.882,1,1.2268993275
"371","sd[1]",26,24,349698,44.641,1,1.616479005
"372","sd[1]",26,24,274095,34.99,1,1.2670041375
"373","sd[1]",26,24,310541,39.642,1,1.4354757725
"374","sd[1]",26,24,298419,38.095,1,1.3794418275
"375","sd[1]",26,24,283806,36.229,1,1.311893235
"376","sd[1]",26,24,302860,38.662,1,1.39997035
"377","sd[1]",26,24,285426,36.436,1,1.319381685
"378","sd[1]",26,24,325034,41.492,1,1.502469665
"379","sd[1]",26,24,311222,39.729,1,1.438623695
"380","sd[1]",26,24,272859,34.832,1,1.2612907275
"381","sd[1]",26,24,300743,38.391,1,1.3901845175
"382","sd[1]",26,24,261906,33.434,1,1.210660485
"383","sd[1]",26,24,282807,36.102,1,1.3072753575
"384","sd[1]",26,24,307612,39.268,1,1.42193647
"385","sd[1]",26,24,359760,45.925,1,1.6629906
"386","sd[1]",28,24,288169,36.786,1,1.3320612025
"387","sd[1]",28,24,305199,38.96,1,1.4107823775
"388","sd[1]",28,24,382364,48.811,1,1.76747759
"389","sd[1]",28,24,354163,45.211,1,1.6371184675
"390","sd[1]",28,24,350275,44.714,1,1.6191461875
"391","sd[1]",28,24,318869,40.705,1,1.4739719525
"392","sd[1]",28,24,324219,41.388,1,1.4987023275
"393","sd[1]",28,24,285116,36.397,1,1.31794871
"394","sd[1]",28,24,312604,39.906,1,1.44501199
"395","sd[1]",28,24,336654,42.976,1,1.556183115
"396","sd[1]",28,24,334696,42.726,1,1.54713226
"397","sd[1]",28,24,354825,45.295,1,1.6401785625
"398","sd[1]",28,24,340194,43.428,1,1.572546765
"399","sd[1]",28,24,367379,46.898,1,1.6982094275
"400","sd[1]",28,24,295448,37.715,1,1.36570838
"401","sd[1]",28,24,303727,38.772,1,1.4039780575
"402","sd[1]",28,24,346522,44.235,1,1.601797945
"403","sd[1]",31,24,286260,36.543,1,1.32323685
"404","sd[1]",31,24,306117,39.077,1,1.4150258325
"405","sd[1]",31,24,292338,37.318,1,1.351332405
"406","sd[1]",31,24,267618,34.163,1,1.237064205
"407","sd[1]",31,24,280838,35.85,1,1.298173655
"408","sd[1]",31,24,259034,33.067,1,1.197384665
"409","sd[1]",31,24,272458,34.781,1,1.259437105
"410","sd[1]",31,24,293973,37.527,1,1.3588901925
"411","sd[1]",31,24,249102,31.799,1,1.151473995
"412","sd[1]",31,24,283822,36.231,1,1.311967195
"413","sd[1]",31,24,302816,38.656,1,1.39976696
"414","sd[1]",31,24,268447,34.269,1,1.2408962575
"415","sd[1]",31,24,275745,35.2,1,1.2746312625
"416","sd[1]",31,24,251009,32.043,1,1.1602891025
"417","sd[1]",31,24,299019,38.171,1,1.3822153275
"418","sd[1]",31,24,271291,34.632,1,1.2540426475
