"Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"OREw","032",24,348277,44.459,"1"
"OREw","032",24,362235,46.241,"1"
"OREw","032",24,269841,34.447,"1"
"OREw","032",24,296228,37.815,"1"
"OREw","032",24,369453,47.163,"1"
"OREw","032",24,309289,39.482,"1"
"OREw","038",24,323847,41.341,"1"
"OREw","038",24,342349,43.703,"1"
"OREw","038",24,241932,30.884,"1"
"OREw","038",24,291234,37.178,"1"
"OREw","038",24,344478,43.974,"1"
"OREw","038",24,300140,38.314,"1"
"OREw","038",24,348060,44.432,"1"
"OREw","038",24,379109,48.395,"1"
"OREw","038",24,353639,45.144,"1"
"OREw","038",24,230836,29.467,"1"
"OREw","038",24,277755,35.457,"1"
"OREw","038",24,338457,43.206,"1"
"OREw","038",24,331465,42.313,"1"
"OREw","038",24,296646,37.868,"1"
"OREw","038",24,302279,38.587,"1"
"OREw","038",24,340019,43.405,"1"
"OREw","038",24,317007,40.468,"1"
"OREw","038",24,324868,41.471,"1"
"OREw","038",24,347169,44.318,"1"
"OREw","038",24,211999,27.063,"1"
"sd[1]","021",24,275012,35.107,"1"
"sd[1]","021",24,256213,32.707,"1"
"sd[1]","021",24,247443,31.587,"1"
"sd[1]","021",24,277676,35.447,"1"
"sd[1]","021",24,254847,32.533,"1"
"sd[1]","021",24,259716,33.154,"1"
"sd[1]","021",24,297085,37.924,"1"
"sd[1]","021",24,239778,30.609,"1"
"sd[1]","021",24,264414,33.754,"1"
"sd[1]","021",24,256802,32.782,"1"
"sd[1]","021",24,289846,37,"1"
"sd[1]","021",24,253994,32.424,"1"
"sd[1]","021",24,302858,38.661,"1"
"sd[1]","021",24,265522,33.895,"1"
"sd[1]","021",24,266610,34.034,"1"
"sd[1]","026",24,349393,44.602,"1"
"sd[1]","026",24,291987,37.274,"1"
"sd[1]","026",24,265419,33.882,"1"
"sd[1]","026",24,349698,44.641,"1"
"sd[1]","026",24,274095,34.99,"1"
"sd[1]","026",24,310541,39.642,"1"
"sd[1]","026",24,298419,38.095,"1"
"sd[1]","026",24,283806,36.229,"1"
"sd[1]","026",24,302860,38.662,"1"
"sd[1]","026",24,285426,36.436,"1"
"sd[1]","026",24,325034,41.492,"1"
"sd[1]","026",24,311222,39.729,"1"
"sd[1]","026",24,272859,34.832,"1"
"sd[1]","026",24,300743,38.391,"1"
"sd[1]","026",24,261906,33.434,"1"
"sd[1]","026",24,282807,36.102,"1"
"sd[1]","026",24,307612,39.268,"1"
"sd[1]","026",24,359760,45.925,"1"
"sd[1]","028",24,288169,36.786,"1"
"sd[1]","028",24,305199,38.96,"1"
"sd[1]","028",24,382364,48.811,"1"
"sd[1]","028",24,354163,45.211,"1"
"sd[1]","028",24,350275,44.714,"1"
"sd[1]","028",24,318869,40.705,"1"
"sd[1]","028",24,324219,41.388,"1"
"sd[1]","028",24,285116,36.397,"1"
"sd[1]","028",24,312604,39.906,"1"
"sd[1]","028",24,336654,42.976,"1"
"sd[1]","028",24,334696,42.726,"1"
"sd[1]","028",24,354825,45.295,"1"
"sd[1]","028",24,340194,43.428,"1"
"sd[1]","028",24,367379,46.898,"1"
"sd[1]","028",24,295448,37.715,"1"
"sd[1]","028",24,303727,38.772,"1"
"sd[1]","028",24,346522,44.235,"1"
"sd[1]","031",24,286260,36.543,"1"
"sd[1]","031",24,306117,39.077,"1"
"sd[1]","031",24,292338,37.318,"1"
"sd[1]","031",24,267618,34.163,"1"
"sd[1]","031",24,280838,35.85,"1"
"sd[1]","031",24,259034,33.067,"1"
"sd[1]","031",24,272458,34.781,"1"
"sd[1]","031",24,293973,37.527,"1"
"sd[1]","031",24,249102,31.799,"1"
"sd[1]","031",24,283822,36.231,"1"
"sd[1]","031",24,302816,38.656,"1"
"sd[1]","031",24,268447,34.269,"1"
"sd[1]","031",24,275745,35.2,"1"
"sd[1]","031",24,251009,32.043,"1"
"sd[1]","031",24,299019,38.171,"1"
"sd[1]","031",24,271291,34.632,"1"
"sd[1]","031",24,200371,25.578,"1"
"sd[1]","031",24,298463,38.1,"1"
"sd[1]","032",24,292805,37.378,"1"
"sd[1]","032",24,228061,29.113,"1"
"sd[1]","032",24,234320,29.912,"1"
"sd[1]","032",24,288485,36.827,"1"
"sd[1]","032",24,246790,31.504,"1"
"sd[1]","032",24,266454,34.014,"1"
"sd[1]","032",24,281810,35.975,"1"
"sd[1]","032",24,271594,34.67,"1"
"sd[1]","032",24,277709,35.451,"1"
"sd[1]","032",24,278103,35.501,"1"
"sd[1]","032",24,273751,34.946,"1"
"sd[1]","032",24,294799,37.633,"1"
"sd[1]","032",24,255460,32.611,"1"
"sd[1]","032",24,275606,35.183,"1"
"sd[1]","032",24,264697,33.79,"1"
"sd[1]","032",24,287790,36.738,"1"
"sd[1]","032",24,279796,35.717,"1"
"sd[1]","032",24,281117,35.886,"1"
"sd[1]","032",24,281356,35.917,"1"
"sd[1]","038",24,289706,36.982,"1"
"sd[1]","038",24,203296,25.952,"1"
"sd[1]","038",24,82126,10.484,"1"
"sd[1]","038",24,127157,16.232,"1"
"sd[1]","038",24,295681,37.745,"1"
"sd[1]","038",24,288464,36.824,"1"
"sd[1]","038",24,286819,36.614,"1"
"sd[1]","038",24,82596,10.544,"1"
"sd[1]","038",24,296664,37.871,"1"
"sd[1]","038",24,290510,37.085,"1"
"sd[1]","038",24,201200,25.684,"1"
"sd[1]","038",24,121804,15.549,"1"
"sd[1]","038",24,68117,8.695,"1"
"sd[1]","038",24,271688,34.682,"1"
"sd[1]","038",24,271649,34.677,"1"
"sd[1]","038",24,288321,36.806,"1"
"sd[1]","038",24,312077,39.838,"1"
"sd[1]","038",24,319834,40.828,"1"
"sd[1]","038",24,305656,39.019,"1"
"sd[1]","040",24,253409,32.349,"1"
"sd[1]","040",24,244851,31.257,"1"
"sd[1]","040",24,272186,34.746,"1"
"sd[1]","040",24,322333,41.147,"1"
"sd[1]","040",24,267452,34.142,"1"
"sd[1]","040",24,264486,33.763,"1"
"sd[1]","040",24,233951,29.865,"1"
"sd[1]","040",24,241390,30.815,"1"
"sd[1]","040",24,227488,29.04,"1"
"sd[1]","040",24,288278,36.8,"1"
"sd[1]","040",24,214661,27.403,"1"
"sd[1]","040",24,252130,32.186,"1"
"sd[1]","040",24,170866,21.812,"1"
"sd[1]","040",24,269857,34.449,"1"
"sd[1]","040",24,224399,28.646,"1"
"sd[1]","040",24,287881,36.75,"1"
"sd[1]","040",24,258417,32.988,"1"
"sd[1]","040",24,304245,38.838,"1"
"sd[1]","040",24,289170,36.914,"1"
"sd[1]","040",24,320143,40.868,"1"
"sd[1]","041",24,326906,41.731,"1"
"sd[1]","041",24,287312,36.677,"1"
"sd[1]","041",24,264965,33.824,"1"
"sd[1]","041",24,330701,42.216,"1"
"sd[1]","041",24,302728,38.645,"1"
"sd[1]","041",24,326305,41.655,"1"
