"","Mutant","DGRP","temperature","TotalArea","AreaPerc","Block"
"341","OREw","038","24",353639,45.144,"B1"
"342","OREw","038","24",230836,29.467,"B1"
"343","OREw","038","24",277755,35.457,"B1"
"344","OREw","038","24",338457,43.206,"B1"
"345","OREw","038","24",331465,42.313,"B1"
"346","OREw","038","24",296646,37.868,"B1"
"347","OREw","038","24",302279,38.587,"B1"
"348","OREw","038","24",340019,43.405,"B1"
"349","OREw","038","24",317007,40.468,"B1"
"350","OREw","038","24",324868,41.471,"B1"
"351","OREw","038","24",347169,44.318,"B1"
"352","OREw","038","24",211999,27.063,"B1"
"353","sd[1]","021","24",275012,35.107,"B1"
"354","sd[1]","021","24",256213,32.707,"B1"
"355","sd[1]","021","24",247443,31.587,"B1"
"356","sd[1]","021","24",277676,35.447,"B1"
"357","sd[1]","021","24",254847,32.533,"B1"
"358","sd[1]","021","24",259716,33.154,"B1"
"359","sd[1]","021","24",297085,37.924,"B1"
"360","sd[1]","021","24",239778,30.609,"B1"
"361","sd[1]","021","24",264414,33.754,"B1"
"362","sd[1]","021","24",256802,32.782,"B1"
"363","sd[1]","021","24",289846,37,"B1"
"364","sd[1]","021","24",253994,32.424,"B1"
"365","sd[1]","021","24",302858,38.661,"B1"
"366","sd[1]","021","24",265522,33.895,"B1"
"367","sd[1]","021","24",266610,34.034,"B1"
"368","sd[1]","026","24",349393,44.602,"B1"
"369","sd[1]","026","24",291987,37.274,"B1"
"370","sd[1]","026","24",265419,33.882,"B1"
"371","sd[1]","026","24",349698,44.641,"B1"
"372","sd[1]","026","24",274095,34.99,"B1"
"373","sd[1]","026","24",310541,39.642,"B1"
"374","sd[1]","026","24",298419,38.095,"B1"
"375","sd[1]","026","24",283806,36.229,"B1"
"376","sd[1]","026","24",302860,38.662,"B1"
"377","sd[1]","026","24",285426,36.436,"B1"
"378","sd[1]","026","24",325034,41.492,"B1"
"379","sd[1]","026","24",311222,39.729,"B1"
"380","sd[1]","026","24",272859,34.832,"B1"
"381","sd[1]","026","24",300743,38.391,"B1"
"382","sd[1]","026","24",261906,33.434,"B1"
"383","sd[1]","026","24",282807,36.102,"B1"
"384","sd[1]","026","24",307612,39.268,"B1"
"385","sd[1]","026","24",359760,45.925,"B1"
"386","sd[1]","028","24",288169,36.786,"B1"
"387","sd[1]","028","24",305199,38.96,"B1"
"388","sd[1]","028","24",382364,48.811,"B1"
"389","sd[1]","028","24",354163,45.211,"B1"
"390","sd[1]","028","24",350275,44.714,"B1"
"391","sd[1]","028","24",318869,40.705,"B1"
"392","sd[1]","028","24",324219,41.388,"B1"
"393","sd[1]","028","24",285116,36.397,"B1"
"394","sd[1]","028","24",312604,39.906,"B1"
"395","sd[1]","028","24",336654,42.976,"B1"
"396","sd[1]","028","24",334696,42.726,"B1"
"397","sd[1]","028","24",354825,45.295,"B1"
"398","sd[1]","028","24",340194,43.428,"B1"
"399","sd[1]","028","24",367379,46.898,"B1"
"400","sd[1]","028","24",295448,37.715,"B1"
"401","sd[1]","028","24",303727,38.772,"B1"
"402","sd[1]","028","24",346522,44.235,"B1"
"403","sd[1]","031","24",286260,36.543,"B1"
"404","sd[1]","031","24",306117,39.077,"B1"
"405","sd[1]","031","24",292338,37.318,"B1"
"406","sd[1]","031","24",267618,34.163,"B1"
"407","sd[1]","031","24",280838,35.85,"B1"
"408","sd[1]","031","24",259034,33.067,"B1"
"409","sd[1]","031","24",272458,34.781,"B1"
"410","sd[1]","031","24",293973,37.527,"B1"
"411","sd[1]","031","24",249102,31.799,"B1"
"412","sd[1]","031","24",283822,36.231,"B1"
"413","sd[1]","031","24",302816,38.656,"B1"
"414","sd[1]","031","24",268447,34.269,"B1"
"415","sd[1]","031","24",275745,35.2,"B1"
"416","sd[1]","031","24",251009,32.043,"B1"
"417","sd[1]","031","24",299019,38.171,"B1"
"418","sd[1]","031","24",271291,34.632,"B1"
"419","sd[1]","031","24",200371,25.578,"B1"
"420","sd[1]","031","24",298463,38.1,"B1"
"421","sd[1]","032","24",292805,37.378,"B1"
"422","sd[1]","032","24",228061,29.113,"B1"
"423","sd[1]","032","24",234320,29.912,"B1"
"424","sd[1]","032","24",288485,36.827,"B1"
"425","sd[1]","032","24",246790,31.504,"B1"
"426","sd[1]","032","24",266454,34.014,"B1"
"427","sd[1]","032","24",281810,35.975,"B1"
"428","sd[1]","032","24",271594,34.67,"B1"
"429","sd[1]","032","24",277709,35.451,"B1"
"430","sd[1]","032","24",278103,35.501,"B1"
"431","sd[1]","032","24",273751,34.946,"B1"
"432","sd[1]","032","24",294799,37.633,"B1"
"433","sd[1]","032","24",255460,32.611,"B1"
"434","sd[1]","032","24",275606,35.183,"B1"
"435","sd[1]","032","24",264697,33.79,"B1"
"436","sd[1]","032","24",287790,36.738,"B1"
"437","sd[1]","032","24",279796,35.717,"B1"
"438","sd[1]","032","24",281117,35.886,"B1"
"439","sd[1]","032","24",281356,35.917,"B1"
"440","sd[1]","038","24",289706,36.982,"B1"
"441","sd[1]","038","24",203296,25.952,"B1"
"442","sd[1]","038","24",82126,10.484,"B1"
"443","sd[1]","038","24",127157,16.232,"B1"
"444","sd[1]","038","24",295681,37.745,"B1"
"445","sd[1]","038","24",288464,36.824,"B1"
"446","sd[1]","038","24",286819,36.614,"B1"
"447","sd[1]","038","24",82596,10.544,"B1"
"448","sd[1]","038","24",296664,37.871,"B1"
"449","sd[1]","038","24",290510,37.085,"B1"
"450","sd[1]","038","24",201200,25.684,"B1"
"451","sd[1]","038","24",121804,15.549,"B1"
"452","sd[1]","038","24",68117,8.695,"B1"
"453","sd[1]","038","24",271688,34.682,"B1"
"454","sd[1]","038","24",271649,34.677,"B1"
"455","sd[1]","038","24",288321,36.806,"B1"
"456","sd[1]","038","24",312077,39.838,"B1"
"457","sd[1]","038","24",319834,40.828,"B1"
"458","sd[1]","038","24",305656,39.019,"B1"
"459","sd[1]","040","24",253409,32.349,"B1"
"460","sd[1]","040","24",244851,31.257,"B1"
"461","sd[1]","040","24",272186,34.746,"B1"
"462","sd[1]","040","24",322333,41.147,"B1"
"463","sd[1]","040","24",267452,34.142,"B1"
"464","sd[1]","040","24",264486,33.763,"B1"
"465","sd[1]","040","24",233951,29.865,"B1"
"466","sd[1]","040","24",241390,30.815,"B1"
"467","sd[1]","040","24",227488,29.04,"B1"
"468","sd[1]","040","24",288278,36.8,"B1"
"469","sd[1]","040","24",214661,27.403,"B1"
"470","sd[1]","040","24",252130,32.186,"B1"
"471","sd[1]","040","24",170866,21.812,"B1"
"472","sd[1]","040","24",269857,34.449,"B1"
"473","sd[1]","040","24",224399,28.646,"B1"
"474","sd[1]","040","24",287881,36.75,"B1"
"475","sd[1]","040","24",258417,32.988,"B1"
"476","sd[1]","040","24",304245,38.838,"B1"
"477","sd[1]","040","24",289170,36.914,"B1"
"478","sd[1]","040","24",320143,40.868,"B1"
"479","sd[1]","041","24",326906,41.731,"B1"
"480","sd[1]","041","24",287312,36.677,"B1"
"481","sd[1]","041","24",264965,33.824,"B1"
"482","sd[1]","041","24",330701,42.216,"B1"
"483","sd[1]","041","24",302728,38.645,"B1"
"484","sd[1]","041","24",326305,41.655,"B1"
"485","sd[1]","041","24",262129,33.462,"B1"
"486","sd[1]","041","24",317414,40.52,"B1"
"487","sd[1]","041","24",284413,36.307,"B1"
"488","sd[1]","041","24",283216,36.154,"B1"
"489","sd[1]","041","24",304345,38.851,"B1"
"490","sd[1]","041","24",271156,34.614,"B1"
"491","sd[1]","041","24",266570,34.029,"B1"
"492","sd[1]","041","24",257539,32.876,"B1"
"493","sd[1]","041","24",298139,38.059,"B1"
"494","sd[1]","041","24",280704,35.833,"B1"
"495","sd[1]","041","24",304355,38.853,"B1"
"496","sd[1]","041","24",221897,28.326,"B1"
"497","sd[1]","041","24",329445,42.055,"B1"
"498","sd[1]","041","24",271611,34.673,"B1"
"499","sd[1]","045","24",311437,39.757,"B1"
"500","sd[1]","045","24",303617,38.758,"B1"
"501","sd[1]","045","24",292176,37.298,"B1"
"502","sd[1]","045","24",290376,37.068,"B1"
"503","sd[1]","045","24",316315,40.379,"B1"
"504","sd[1]","045","24",269475,34.4,"B1"
"505","sd[1]","045","24",319454,40.78,"B1"
"506","sd[1]","045","24",301297,38.462,"B1"
"507","sd[1]","045","24",325077,41.498,"B1"
"508","sd[1]","045","24",316519,40.405,"B1"
